periodo,modelo,n,split,RMSE,MAE,MAPE(%)
2022 (bajista + split),Denso-C,3,train,6.15477991104126,4.725337028503418,8.267877578735352
2022 (bajista + split),Denso-C,3,dev,2.7185139656066895,1.9514135122299194,1.1298513412475586
2022 (bajista + split),Denso-C,3,test,5.325555324554443,4.06254243850708,3.34546160697937
2022 (bajista + split),Persistencia,7,test,3.9809370040893555,2.9431073665618896,2.370037794113159
2022 (bajista + split),Denso-A,7,train,1.9912759065628052,1.3190207481384277,1.3916038274765015
2022 (bajista + split),Denso-A,7,dev,2.847902774810791,2.1224632263183594,1.2348648309707642
2022 (bajista + split),Denso-A,7,test,4.377578258514404,3.3064777851104736,2.6919734477996826
2022 (bajista + split),Denso-B,7,train,4.067493438720703,2.9239697456359863,3.1174733638763428
2022 (bajista + split),Denso-B,7,dev,6.05228853225708,4.937175750732422,2.8886117935180664
2022 (bajista + split),Denso-B,7,test,9.463174819946289,7.552873611450195,6.169238567352295
2022 (bajista + split),Denso-C,7,train,4.136916637420654,3.371615409851074,5.055582046508789
2022 (bajista + split),Denso-C,7,dev,3.8116226196289062,2.8396501541137695,1.6585314273834229
2022 (bajista + split),Denso-C,7,test,6.565628528594971,5.039859294891357,4.094393253326416
2022 (bajista + split),Persistencia,15,test,3.9809370040893555,2.9431073665618896,2.370037794113159
2022 (bajista + split),Denso-A,15,train,2.2370898723602295,1.5348213911056519,1.6766465902328491
2022 (bajista + split),Denso-A,15,dev,3.0921967029571533,2.3747949600219727,1.3810539245605469
2022 (bajista + split),Denso-A,15,test,4.968743801116943,3.877054214477539,3.179598569869995
2022 (bajista + split),Denso-B,15,train,4.083537578582764,3.1792409420013428,3.95458722114563
2022 (bajista + split),Denso-B,15,dev,7.1013503074646,6.3235039710998535,3.6520230770111084
2022 (bajista + split),Denso-B,15,test,6.301841735839844,4.877793788909912,3.9797537326812744
2022 (bajista + split),Denso-C,15,train,3.7650833129882812,3.154372215270996,4.166784286499023
2022 (bajista + split),Denso-C,15,dev,3.184540271759033,2.384706497192383,1.3892384767532349
2022 (bajista + split),Denso-C,15,test,7.089943885803223,5.661276817321777,4.602455139160156
2024 (recuperacion),Persistencia,3,test,3.2664754390716553,2.428610324859619,1.3157293796539307
2024 (recuperacion),Denso-A,3,train,2.482722759246826,1.625301480293274,1.5089824199676514
2024 (recuperacion),Denso-A,3,dev,2.482494354248047,1.9096499681472778,1.4997481107711792
2024 (recuperacion),Denso-A,3,test,3.305426836013794,2.4537205696105957,1.3288516998291016
2024 (recuperacion),Denso-B,3,train,5.66853666305542,4.557009220123291,5.888077259063721
2024 (recuperacion),Denso-B,3,dev,3.5381956100463867,2.7965447902679443,2.165712356567383
2024 (recuperacion),Denso-B,3,test,10.987443923950195,9.886404037475586,5.228549003601074
2024 (recuperacion),Denso-C,3,train,3.1240808963775635,2.3376505374908447,2.226259231567383
2024 (recuperacion),Denso-C,3,dev,3.245465040206909,2.550902843475342,1.9799901247024536
2024 (recuperacion),Denso-C,3,test,4.392022132873535,3.4768741130828857,1.8866604566574097
2024 (recuperacion),Persistencia,7,test,3.2664754390716553,2.428610324859619,1.3157293796539307
2024 (recuperacion),Denso-A,7,train,2.5832269191741943,1.7303296327590942,1.6092170476913452
2024 (recuperacion),Denso-A,7,dev,2.559004306793213,1.979441523551941,1.555449366569519
2024 (recuperacion),Denso-A,7,test,4.020679473876953,3.1059041023254395,1.6648226976394653
2024 (recuperacion),Denso-B,7,train,4.580592632293701,3.4334046840667725,4.258901119232178
2024 (recuperacion),Denso-B,7,dev,3.393587112426758,2.5684523582458496,2.007476806640625
2024 (recuperacion),Denso-B,7,test,6.923942565917969,5.594432353973389,2.9586126804351807
2024 (recuperacion),Denso-C,7,train,3.9545562267303467,3.2509937286376953,3.7074155807495117
2024 (recuperacion),Denso-C,7,dev,3.21063232421875,2.5072834491729736,1.9811643362045288
2024 (recuperacion),Denso-C,7,test,10.366116523742676,9.177830696105957,4.815296173095703
2024 (recuperacion),Persistencia,15,test,3.2664754390716553,2.428610324859619,1.3157293796539307
2024 (recuperacion),Denso-A,15,train,2.660064458847046,1.8242530822753906,1.743095874786377
2024 (recuperacion),Denso-A,15,dev,2.6799840927124023,2.0861475467681885,1.625288963317871
2024 (recuperacion),Denso-A,15,test,3.478883981704712,2.5932881832122803,1.408164620399475
2024 (recuperacion),Denso-B,15,train,6.403164863586426,5.150203227996826,6.0893235206604
2024 (recuperacion),Denso-B,15,dev,4.784640789031982,3.995955467224121,2.979022741317749
2024 (recuperacion),Denso-B,15,test,13.003594398498535,12.197304725646973,6.502591609954834
2024 (recuperacion),Denso-C,15,train,5.885385036468506,5.154343128204346,6.318597316741943
2024 (recuperacion),Denso-C,15,dev,3.720209836959839,2.784475564956665,2.2374727725982666
2024 (recuperacion),Denso-C,15,test,13.729105949401855,12.423027992248535,6.522643566131592
